code,year,anu_ret_std
600275,2011,0.4382714722306621
600275,2012,0.39128095009736624
600275,2013,0.40707220284605655
600275,2014,0.5495920354199333
600275,2015,0.9700509933877361
600275,2016,0.6998010299066179
600275,2017,0.5534382901549693
600276,2002,
600276,2003,0.2872561977989851
600276,2004,0.29849141540862556
600276,2005,0.32997123436657455
600276,2006,0.5690822323883057
600276,2007,0.585367187203996
600276,2008,0.44395322175506174
600276,2009,0.31730628360373087
600276,2010,0.42432021453013347
600276,2011,0.46102438453455546
600276,2012,0.244041453028913
600276,2013,0.36161074573429375
600276,2014,0.22121054491178999
600276,2015,0.44031702056250216
600276,2016,0.2430416229458608
600276,2017,0.2696037206584594
600277,2002,
600277,2003,0.24819688485340025
600277,2004,0.3274950748570936
600277,2005,0.3104605822199836
600277,2006,0.6120944784726898
600277,2007,1.0947446856915422
600277,2008,0.8318944747296103
600277,2009,0.536329894704326
600277,2010,0.5286927120051373
600277,2011,0.3812122225985227
600277,2012,0.6407218513450827
600277,2013,0.6402301069608539
600277,2014,0.2870629468775006
600277,2015,0.5758172170231473
600277,2016,0.46358521381845397
600277,2017,0.31319571835406884
600278,2002,
600278,2003,0.3688062428184146
600278,2004,0.27496281589853705
600278,2005,0.44809217698957277
600278,2006,0.49491584308495784
600278,2007,0.722203780313242
600278,2008,0.686362217660055
600278,2009,0.4286769385194888
600278,2010,0.43493502944976403
600278,2011,0.30236744282771
600278,2012,0.5143774133858864
600278,2013,0.7564568099779099
600278,2014,0.31798200813560995
600278,2015,0.9154738042024212
600278,2016,0.5484458816299906
600278,2017,0.3327958603417803
600279,2002,
600279,2003,0.2838321809951382
600279,2004,0.316782857060078
600279,2005,0.433914308735137
600279,2006,0.3613654824702028
600279,2007,0.8188935719818918
600279,2008,0.8175484389450773
600279,2009,0.5295609660462574
600279,2010,0.4422976743763597
600279,2011,0.37364020572603146
600279,2012,0.24034920976142915
600279,2013,0.49402085692299136
600279,2014,0.47317185760956765
600279,2015,0.7344618975992718
600279,2016,0.526627406356453
600279,2017,0.25999869360510103
600280,2002,
600280,2003,0.3499248232416147
600280,2004,0.33383414964870595
600280,2005,0.2974454995745374
